sex,age,L,M,S
M,0,1.0000 ,49.8842 ,0.0380 
M,1,1.0000 ,54.7244 ,0.0356 
M,2,1.0000 ,58.4249 ,0.0342 
M,3,1.0000 ,61.4292 ,0.0333 
M,4,1.0000 ,63.8860 ,0.0326 
M,5,1.0000 ,65.9026 ,0.0320 
M,6,1.0000 ,67.6236 ,0.0317 
M,7,1.0000 ,69.1645 ,0.0314 
M,8,1.0000 ,70.5994 ,0.0312 
M,9,1.0000 ,71.9687 ,0.0312 
M,10,1.0000 ,73.2812 ,0.0312 
M,11,1.0000 ,74.5388 ,0.0313 
M,12,1.0000 ,75.7488 ,0.0314 
M,13,1.0000 ,76.9186 ,0.0315 
M,14,1.0000 ,78.0497 ,0.0317 
M,15,1.0000 ,79.1458 ,0.0320 
M,16,1.0000 ,80.2113 ,0.0322 
M,17,1.0000 ,81.2487 ,0.0325 
M,18,1.0000 ,82.2587 ,0.0328 
M,19,1.0000 ,83.2418 ,0.0331 
M,20,1.0000 ,84.1996 ,0.0334 
M,21,1.0000 ,85.1348 ,0.0338 
M,22,1.0000 ,86.0477 ,0.0341 
M,23,1.0000 ,86.9410 ,0.0345 
M,24,1.0000 ,87.1161 ,0.0351 
M,25,1.0000 ,87.9720 ,0.0354 
M,26,1.0000 ,88.8065 ,0.0358 
M,27,1.0000 ,89.6197 ,0.0361 
M,28,1.0000 ,90.4120 ,0.0364 
M,29,1.0000 ,91.1828 ,0.0367 
M,30,1.0000 ,91.9327 ,0.0370 
M,31,1.0000 ,92.6631 ,0.0373 
M,32,1.0000 ,93.3753 ,0.0376 
M,33,1.0000 ,94.0711 ,0.0379 
M,34,1.0000 ,94.7532 ,0.0381 
M,35,1.0000 ,95.4236 ,0.0384 
M,36,-1.0915 ,96.4961 ,0.0403 
M,37,-1.0011 ,97.0464 ,0.0403 
M,38,-0.9126 ,97.5965 ,0.0402 
M,39,-0.8262 ,98.1463 ,0.0402 
M,40,-0.7418 ,98.6959 ,0.0402 
M,41,-0.6592 ,99.2452 ,0.0402 
M,42,-0.5827 ,99.7930 ,0.0401 
M,43,-0.5077 ,100.3406 ,0.0401 
M,44,-0.4343 ,100.8881 ,0.0401 
M,45,-0.3625 ,101.4353 ,0.0401 
M,46,-0.2921 ,101.9824 ,0.0401 
M,47,-0.2232 ,102.5294 ,0.0400 
M,48,-0.1597 ,103.0749 ,0.0400 
M,49,-0.0975 ,103.6204 ,0.0400 
M,50,-0.0364 ,104.1657 ,0.0400 
M,51,0.0234 ,104.7109 ,0.0399 
M,52,0.0822 ,105.2560 ,0.0399 
M,53,0.1398 ,105.8009 ,0.0399 
M,54,0.1897 ,106.3440 ,0.0399 
M,55,0.2387 ,106.8869 ,0.0399 
M,56,0.2868 ,107.4298 ,0.0398 
M,57,0.3341 ,107.9726 ,0.0398 
M,58,0.3805 ,108.5153 ,0.0398 
M,59,0.4261 ,109.0579 ,0.0398 
M,60,0.4242 ,109.5896 ,0.0398 
M,61,0.4223 ,110.1212 ,0.0399 
M,62,0.4205 ,110.6529 ,0.0399 
M,63,0.4187 ,111.1846 ,0.0399 
M,64,0.4169 ,111.7162 ,0.0400 
M,65,0.4151 ,112.2479 ,0.0400 
M,66,0.3787 ,112.7735 ,0.0400 
M,67,0.3429 ,113.2990 ,0.0401 
M,68,0.3074 ,113.8245 ,0.0401 
M,69,0.2724 ,114.3501 ,0.0402 
M,70,0.2378 ,114.8756 ,0.0402 
M,71,0.2036 ,115.4010 ,0.0403 
M,72,0.1783 ,115.9183 ,0.0403 
M,73,0.1533 ,116.4356 ,0.0404 
M,74,0.1287 ,116.9528 ,0.0404 
M,75,0.1044 ,117.4701 ,0.0405 
M,76,0.0805 ,117.9874 ,0.0405 
M,77,0.0569 ,118.5047 ,0.0406 
M,78,0.0563 ,119.0136 ,0.0406 
M,79,0.0557 ,119.5225 ,0.0406 
M,80,0.0552 ,120.0314 ,0.0406 
M,81,0.0546 ,120.5404 ,0.0406 
M,82,0.0541 ,121.0493 ,0.0406 
M,83,0.0536 ,121.5582 ,0.0406 
M,84,0.0492 ,122.0537 ,0.0406 
M,85,0.0448 ,122.5492 ,0.0406 
M,86,0.0405 ,123.0447 ,0.0406 
M,87,0.0363 ,123.5402 ,0.0406 
